city,location,Status,latitude,longitude
Delhi,Hauz Khas,Semi-Furnished,28.54725456,77.20079803
Delhi,Green Park,Furnished,28.55545235,77.20214081
Delhi,Hauz Khas,Furnished,28.55016518,77.19645691
Delhi,Anand Lok,Semi-Furnished,28.55719376,77.21904755
Delhi,East of Kailash,Semi-Furnished,28.55607414,77.25844574
Delhi,Vasant Vihar,Semi-Furnished,28.55988312,77.15867615
Delhi,Gulmohar park,Semi-Furnished,28.55721092,77.21279144
Delhi,Uttam Nagar,Semi-Furnished,28.62089157,77.0579834
Delhi,Zone L Dwarka,Semi-Furnished,28.63225746,77.07910919
Delhi,Rajouri Garden,Semi-Furnished,28.64152908,77.12091064
Delhi,Mansarover Garden,Semi-Furnished,28.64325905,77.13282776
Delhi,Raja garden,Semi-Furnished,28.65216827,77.12533569
Delhi,Dabri,Unfurnished,28.60906982,77.08935547
Delhi,Shastri Nagar,Semi-Furnished,28.67461967,77.18017578
Delhi,Kalkaji,Semi-Furnished,28.5278244,77.26459503
Delhi,Shastri Nagar,Semi-Furnished,28.67521095,77.18369293
Delhi,Green Park,Semi-Furnished,28.55524445,77.20317078
Delhi,Sarvodaya Enclave,Semi-Furnished,28.53616524,77.19776154
Delhi,Kalu Sarai,Semi-Furnished,28.54109573,77.20200348
Delhi,Kirti Nagar,Semi-Furnished,28.64817238,77.14144897
Delhi,Tagore Garden Extension,Semi-Furnished,28.6476841,77.1100769
Delhi,Pitampura,Semi-Furnished,28.69317627,77.13703156
Delhi,Raja garden,Furnished,28.65216827,77.12533569
Delhi,Sector 12 Dwarka,Furnished,28.59317017,77.0355072
Delhi,Ramesh Nagar,Semi-Furnished,28.64922142,77.13320923
Delhi,Pitampura,Semi-Furnished,28.71312141,77.14027405
Delhi,Sector 4 Dwarka,Semi-Furnished,28.60425758,77.04748535
Delhi,Vijay Nagar,Furnished,28.6918602,77.20270538
Delhi,Sector 12 Dwarka,Semi-Furnished,28.59359932,77.03804016
Delhi,Sector 19 Dwarka,Semi-Furnished,28.57741356,77.04174805
Delhi,Sector 5 Dwarka,Semi-Furnished,28.60169601,77.05503082
Delhi,Sector 12 Dwarka,Semi-Furnished,28.59312439,77.03543091
Delhi,Sector 13 Dwarka,Semi-Furnished,28.60041809,77.0395813
Delhi,Sector 4 Dwarka,Semi-Furnished,28.60118866,77.04846954
Delhi,Sector 6 Dwarka,Semi-Furnished,28.58784485,77.06393433
Delhi,Saket,Semi-Furnished,28.52662086,77.20433044
Delhi,Sector 2 Dwarka,Semi-Furnished,28.59712982,77.06673431
Delhi,Sector 7 Dwarka,Semi-Furnished,28.58349419,77.07210541
Delhi,Pitampura,Semi-Furnished,28.6984024,77.13158417
Delhi,Paschim Vihar,Semi-Furnished,28.66133118,77.08425903
Delhi,Tagore Garden Extension,Furnished,28.6476841,77.1100769
Delhi,Rajouri Garden,Semi-Furnished,28.6384964,77.11772156
Delhi,Rajouri Garden,Furnished,28.63847351,77.11963654
Delhi,Subhash Nagar,Semi-Furnished,28.63596725,77.11472321
Delhi,Rajouri Garden,Furnished,28.64076233,77.12059021
Delhi,Subhash Nagar,Furnished,28.63766098,77.11206818
Delhi,Subhash Nagar,Semi-Furnished,28.63963509,77.11040497
Delhi,Subhash Nagar,Semi-Furnished,28.63544846,77.11630249
Delhi,Rajouri Garden,Furnished,28.64187241,77.12238312
Delhi,Tagore Garden Extension,Furnished,28.64909935,77.10723877
Delhi,Subhash Nagar,Semi-Furnished,28.63832474,77.11412811
Delhi,Rajouri Garden,Furnished,28.64156151,77.12093353
Delhi,Tagore Garden Extension,Furnished,28.65696335,77.12290955
Delhi,Rajouri Garden,Furnished,28.63851166,77.11851501
Delhi,Subhash Nagar,Semi-Furnished,28.63717842,77.11147308
Delhi,Subhash Nagar,Furnished,28.63756752,77.11242676
Delhi,Rajouri Garden,Furnished,28.64235115,77.12369537
Delhi,Geeta Colony,Semi-Furnished,28.64907837,77.27445221
Delhi,Anand Vihar,Semi-Furnished,28.64968681,77.31190491
Delhi,vikaspuri,Semi-Furnished,28.6371479,77.07970428
Delhi,Subhash Nagar,Semi-Furnished,28.6367588,77.11669159
Delhi,Rajouri Garden,Furnished,28.64208794,77.1206665
Delhi,Rajouri Garden,Furnished,28.64242935,77.12059021
Delhi,Rajouri Garden,Semi-Furnished,28.63879013,77.12237549
Delhi,Subhash Nagar,Furnished,28.64027405,77.11063385
Delhi,Rajouri Garden,Semi-Furnished,28.63750648,77.12410736
Delhi,Rajouri Garden,Furnished,28.63903809,77.12332916
Delhi,Rajouri Garden,Furnished,28.64381599,77.11975861
Delhi,Ashok Nagar,Semi-Furnished,28.6388588,77.10583496
Delhi,Rajouri Garden,Semi-Furnished,28.64047813,77.11920929
Delhi,Subhash Nagar,Furnished,28.63787079,77.11160278
Delhi,Subhash Nagar,Furnished,28.63745117,77.11211395
Delhi,Rajouri Garden,Semi-Furnished,28.64143181,77.12247467
Delhi,Rajouri Garden,Furnished,28.64229393,77.12119293
Delhi,Rajouri Garden,Furnished,28.64159775,77.12139893
Delhi,Tagore Garden Extension,Furnished,28.65128136,77.11876678
Delhi,Rajouri Garden,Furnished,28.6424675,77.12291718
Delhi,Rajouri Garden,Semi-Furnished,28.63887024,77.1268692
Delhi,Tagore Garden Extension,Furnished,28.65113068,77.11856079
Delhi,Tagore Garden Extension,Furnished,28.65702057,77.12242889
Delhi,Sector 22 Dwarka,Semi-Furnished,28.55862808,77.05403137
Delhi,Bindapur,Furnished,28.62271881,77.0659256
Delhi,Dwarka Mor,Furnished,28.6262207,77.03955078
Delhi,Sector 19 Dwarka,Semi-Furnished,28.58045387,77.0519104
Delhi,Dilshad Garden,Semi-Furnished,28.6890583,77.32507324
Delhi,Model Town,Semi-Furnished,28.71587372,77.19107056
Delhi,Model Town,Furnished,28.70628548,77.19306946
Delhi,Model Town,Unfurnished,28.71587372,77.19107056
Delhi,Sector 12 Dwarka,Semi-Furnished,28.59332275,77.04021454
Delhi,Gujranwala Town,Furnished,28.70003319,77.18888855
Delhi,Sector 10 Dwarka,Semi-Furnished,28.58795738,77.05847168
Delhi,Sector 6 Dwarka,Semi-Furnished,28.5899868,77.06198883
Delhi,Sector 16 Dwarka,Semi-Furnished,28.61493492,77.02437592
Delhi,Sector 19 Dwarka,Semi-Furnished,28.57935143,77.05141449
Delhi,Palam,Semi-Furnished,28.58340454,77.07356262
Delhi,Dwarka Mor,Semi-Furnished,28.60035324,77.03395844
Delhi,Sector 11 Dwarka,Semi-Furnished,28.58792305,77.04418945
Delhi,Vikas Puri,Furnished,28.64492989,77.06847382
Delhi,Masjid Moth Village,Semi-Furnished,28.56234932,77.21899414
Delhi,Janakpuri,Unfurnished,28.62119293,77.09102631
Delhi,Vasant Kunj,Semi-Furnished,28.52543068,77.14386749
Delhi,Dwarka Mor,Furnished,28.62422371,77.03027344
Delhi,Sewak Park,Furnished,28.61663628,77.03444672
Delhi,Dwarka Mor,Furnished,28.62286377,77.04042053
Delhi,Mansa Ram Park,Furnished,28.6184845,77.03974152
Delhi,Gautam Nagar,Furnished,28.5623436,77.21340942
Delhi,South Extension 2,Semi-Furnished,28.56566048,77.22041321
